Country Name,Year,R&D_Expenditure
Brazil,2005,1.00246000289917
Brazil,2006,0.988070011138916
Brazil,2007,1.08138000965118
Brazil,2008,1.12904000282288
Brazil,2009,1.11865997314453
Brazil,2010,1.15991997718811
Brazil,2011,1.13966000080109
Brazil,2012,1.12683999538422
Brazil,2013,1.19567000865936
Brazil,2014,1.26970994472504
Brazil,2015,1.37092995643616
Brazil,2016,1.28637003898621
Brazil,2017,1.11749994754791
Brazil,2018,1.16769003868103
Brazil,2019,1.21096003055573
Brazil,2020,1.14525997638702
Brazil,2021,1.18
Brazil,2022,1.20
Brazil,2023,1.22
Brazil,2024,1.23
Canada,2005,1.97126996517181
Canada,2006,1.94304001331329
Canada,2007,1.90357995033264
Canada,2008,1.85578000545502
Canada,2009,1.9174200296402
Canada,2010,1.82503998279572
Canada,2011,1.78714001178741
Canada,2012,1.77304005622864
Canada,2013,1.70624005794525
Canada,2014,1.7148300409317
Canada,2015,1.69359004497528
Canada,2016,1.72903001308441
Canada,2017,1.68701994419098
Canada,2018,1.73720002174377
Canada,2019,1.75577998161316
Canada,2020,1.93413996696472
Canada,2021,1.86431002616882
Canada,2022,1.71166002750397
Canada,2023,1.70
Canada,2024,1.68
Germany,2005,2.44193005561829
Germany,2006,2.47232007980347
Germany,2007,2.4604799747467
Germany,2008,2.61512994766235
Germany,2009,2.74266004562378
Germany,2010,2.73024010658264
Germany,2011,2.80555009841919
Germany,2012,2.88165998458862
Germany,2013,2.8359899520874
Germany,2014,2.87784004211426
Germany,2015,2.9337899684906
Germany,2016,2.94039011001587
Germany,2017,3.04710006713867
Germany,2018,3.11011004447937
Germany,2019,3.16701006889343
Germany,2020,3.13136005401611
Germany,2021,3.12881994247437
Germany,2022,3.13235998153687
Germany,2023,3.15
Germany,2024,3.18
United Kingdom,2005,1.55004000663757
United Kingdom,2006,1.57625997066498
United Kingdom,2007,1.61829996109009
United Kingdom,2008,1.6090099811554
United Kingdom,2009,1.66990995407104
United Kingdom,2010,1.63885998725891
United Kingdom,2011,1.64681005477905
United Kingdom,2012,1.57587003707886
United Kingdom,2013,1.62095999717712
United Kingdom,2014,2.26487994194031
United Kingdom,2015,2.27566003799438
United Kingdom,2016,2.32051992416382
United Kingdom,2017,2.32602000236511
United Kingdom,2018,2.71124005317688
United Kingdom,2019,2.67079997062683
United Kingdom,2020,2.93882989883423
United Kingdom,2021,2.89710998535156
United Kingdom,2022,2.85
United Kingdom,2023,2.88
United Kingdom,2024,2.90
Jordan,2005,0.4
Jordan,2006,0.44
Jordan,2007,0.45
Jordan,2008,0.42153999209404
Jordan,2009,0.47
Jordan,2010,0.49
Jordan,2011,0.51
Jordan,2012,0.53
Jordan,2013,0.74
Jordan,2014,0.76
Jordan,2015,0.78
Jordan,2016,0.695469975471497
Jordan,2017,0.76
Jordan,2018,0.77
Jordan,2019,0.79
Jordan,2020,0.80
Jordan,2021,0.81
Jordan,2022,0.82
Jordan,2023,0.83
Jordan,2024,0.84
Japan,2005,3.13091993331909
Japan,2006,3.2276599407196
Japan,2007,3.29257011413574
Japan,2008,3.29223990440369
Japan,2009,3.19589996337891
Japan,2010,3.10494995117188
Japan,2011,3.20536994934082
Japan,2012,3.17371010780334
Japan,2013,3.27895998954773
Japan,2014,3.36788010597229
Japan,2015,3.24071002006531
Japan,2016,3.10665988922119
Japan,2017,3.16635990142822
Japan,2018,3.21919989585876
Japan,2019,3.2182400226593
Japan,2020,3.2645800113678
Japan,2021,3.27677011489868
Japan,2022,3.40536999702454
Japan,2023,3.42
Japan,2024,3.45
South Korea,2005,2.52290010452271
South Korea,2006,2.71934008598328
South Korea,2007,2.87258005142212
South Korea,2008,2.9888699054718
South Korea,2009,3.14668989181519
South Korea,2010,3.3157799243927
South Korea,2011,3.59198999404907
South Korea,2012,3.8503999710083
South Korea,2013,3.95124006271362
South Korea,2014,4.07785987854004
South Korea,2015,3.97819995880127
South Korea,2016,3.9870400428772
South Korea,2017,4.29205989837646
South Korea,2018,4.51632976531982
South Korea,2019,4.62702989578247
South Korea,2020,4.79571008682251
South Korea,2021,4.9098801612854
South Korea,2022,5.21081018447876
South Korea,2023,5.30
South Korea,2024,5.45
Malaysia,2005,0.65
Malaysia,2006,0.6110600233078
Malaysia,2007,0.67
Malaysia,2008,0.788469970226288
Malaysia,2009,1.01001000404358
Malaysia,2010,1.03608000278473
Malaysia,2011,1.03341996669769
Malaysia,2012,1.09268999099731
Malaysia,2013,1.15
Malaysia,2014,1.2627500295639
Malaysia,2015,1.27945005893707
Malaysia,2016,1.41516995429993
Malaysia,2017,1.35
Malaysia,2018,1.04025995731354
Malaysia,2019,1.20
Malaysia,2020,0.950550019741058
Malaysia,2021,1.05
Malaysia,2022,1.10
Malaysia,2023,1.15
Malaysia,2024,1.20
Poland,2005,0.562780022621155
Poland,2006,0.55102002620697
Poland,2007,0.561930000782013
Poland,2008,0.599439978599548
Poland,2009,0.661059975624084
Poland,2010,0.726189970970154
Poland,2011,0.752210021018982
Poland,2012,0.889970004558563
Poland,2013,0.884829998016357
Poland,2014,0.950760006904602
Poland,2015,1.00423002243042
Poland,2016,0.968209981918335
Poland,2017,1.03785002231598
Poland,2018,1.20609998703003
Poland,2019,1.32334995269775
Poland,2020,1.38608002662659
Poland,2021,1.4318300485611
Poland,2022,1.4538300037384
Poland,2023,1.48
Poland,2024,1.50
Sweden,2005,3.35958003997803
Sweden,2006,3.47499990463257
Sweden,2007,3.23382997512817
Sweden,2008,3.46999001502991
Sweden,2009,3.39527988433838
Sweden,2010,3.1678900718689
Sweden,2011,3.18702006340027
Sweden,2012,3.23024988174438
Sweden,2013,3.26042008399963
Sweden,2014,3.10184001922607
Sweden,2015,3.21902990341187
Sweden,2016,3.24735999107361
Sweden,2017,3.36279010772705
Sweden,2018,3.32105994224548
Sweden,2019,3.38757991790771
Sweden,2020,3.48959994316101
Sweden,2021,3.40215992927551
Sweden,2022,3.40822005271912
Sweden,2023,3.42
Sweden,2024,3.43
Turkey,2005,0.563809990882874
Turkey,2006,0.552919983863831
Turkey,2007,0.686160027980804
Turkey,2008,0.687409996986389
Turkey,2009,0.803619980812073
Turkey,2010,0.793690025806427
Turkey,2011,0.793929994106293
Turkey,2012,0.825950026512146
Turkey,2013,0.812059998512268
Turkey,2014,0.856400012969971
Turkey,2015,0.967320024967194
Turkey,2016,1.11978995800018
Turkey,2017,1.17631995677948
Turkey,2018,1.27093005180359
Turkey,2019,1.31959998607635
Turkey,2020,1.36748003959656
Turkey,2021,1.40208995342255
Turkey,2022,1.32342994213104
Turkey,2023,1.35
Turkey,2024,1.38
