country name,year,r&d_expenditure,score
Brazil,2005,1.00246000289917,25.078439355319503
Brazil,2006,0.988070011138916,24.207745505810056
Brazil,2007,1.08138000965118,24.707059533125186
Brazil,2008,1.12904000282288,26.31531936469404
Brazil,2009,1.11865997314453,27.459535076897986
Brazil,2010,1.15991997718811,29.35044118517392
Brazil,2011,1.13966000080109,28.73330861538242
Brazil,2012,1.12683999538422,27.007449685480335
Brazil,2013,1.19567000865936,28.362379657838588
Brazil,2014,1.26970994472504,29.973044170096298
Brazil,2015,1.37092995643616,31.655864815958186
Brazil,2016,1.28637003898621,27.83756388250872
Brazil,2017,1.11749994754791,23.35470448180969
Brazil,2018,1.16769003868103,23.60164288483336
Brazil,2019,1.21096003055573,20.276588152155238
Brazil,2020,1.14525997638702,19.19173403077464
Brazil,2021,1.18,19.84131081437922
Brazil,2022,1.2,19.465245411873234
Brazil,2023,1.22,19.79946722368389
Brazil,2024,1.23,19.966578129589216
Canada,2005,1.97126996517181,49.933166904561745
Canada,2006,1.94304001331329,48.08026507557184
Canada,2007,1.90357995033264,43.94084075013727
Canada,2008,1.85578000545502,43.445273960697314
Canada,2009,1.9174200296402,47.2587590498517
Canada,2010,1.82503998279572,46.732609854636706
Canada,2011,1.78714001178741,45.23945527933781
Canada,2012,1.77304005622864,42.97660949179362
Canada,2013,1.70624005794525,40.88365612758503
Canada,2014,1.7148300409317,40.59111411567349
Canada,2015,1.69359004497528,39.188597692824516
Canada,2016,1.72903001308441,37.51196499822812
Canada,2017,1.68701994419098,35.39450701335297
Canada,2018,1.73720002174377,35.21405825277847
Canada,2019,1.75577998161316,29.602646766558255
Canada,2020,1.93413996696472,32.896417784595265
Canada,2021,1.86431002616882,31.75881096357898
Canada,2022,1.71166002750397,28.015642483046577
Canada,2023,1.7,27.82079070713963
Canada,2024,1.68,27.486568895328972
Germany,2005,2.44193005561829,62.0079068142417
Germany,2006,2.47232007980347,61.3113076385868
Germany,2007,2.4604799747467,56.96844230949877
Germany,2008,2.61512994766235,61.34387591652421
Germany,2009,2.74266004562378,67.71435366181309
Germany,2010,2.73024010658264,70.38900433777809
Germany,2011,2.80555009841919,71.20168726915415
Germany,2012,2.88165998458862,70.3732779125762
Germany,2013,2.8359899520874,68.5897677297165
Germany,2014,2.87784004211426,68.33401236987609
Germany,2015,2.9337899684906,68.14196090563571
Germany,2016,2.94039011001587,63.9864243101782
Germany,2017,3.04710006713867,64.14695855831587
Germany,2018,3.11011004447937,63.20795110972672
Germany,2019,3.16701006889343,53.7596448479254
Germany,2020,3.13136005401611,53.69492056414429
Germany,2021,3.12881994247437,53.78069657090491
Germany,2022,3.13235998153687,51.75708811685615
Germany,2023,3.15,52.05187206341218
Germany,2024,3.18,52.55320478112817
United Kingdom,2005,1.55004000663757,39.12655233343615
United Kingdom,2006,1.57625997066498,38.911428645125476
United Kingdom,2007,1.61829996109009,37.26726583582264
United Kingdom,2008,1.6090099811554,37.628669264936796
United Kingdom,2009,1.66990995407104,41.123615733777456
United Kingdom,2010,1.63885998725891,41.86700356101114
United Kingdom,2011,1.64681005477905,41.66203696151504
United Kingdom,2012,1.57587003707886,38.10406345596965
United Kingdom,2013,1.62095999717712,38.79223846662345
United Kingdom,2014,2.26487994194031,53.7122209186241
United Kingdom,2015,2.27566003799438,52.777442203789604
United Kingdom,2016,2.32051992416382,50.43906704159916
United Kingdom,2017,2.32602000236511,48.90313632120646
United Kingdom,2018,2.71124005317688,55.07491717781248
United Kingdom,2019,2.67079997062683,45.2656745876381
United Kingdom,2020,2.93882989883423,50.35022311794661
United Kingdom,2021,2.89710998535156,49.74538604938273
United Kingdom,2022,2.85,47.038544886252346
United Kingdom,2023,2.88,47.53987760396833
United Kingdom,2024,2.9,47.87409941577898
Jordan,2005,0.4,9.622385212101873
Jordan,2006,0.44,10.50698837550988
Jordan,2007,0.45,9.93714242468965
Jordan,2008,0.42153999209404,9.638869717554616
Jordan,2009,0.47,11.380909229076423
Jordan,2010,0.49,11.842830618132579
Jordan,2011,0.51,12.681445785182015
Jordan,2012,0.53,12.258095975059376
Jordan,2013,0.74,17.187477868405953
Jordan,2014,0.76,17.814222559548252
Jordan,2015,0.78,17.860178058027593
Jordan,2016,0.695469975471497,14.92335304745087
Jordan,2017,0.76,15.797061556391101
Jordan,2018,0.77,15.492668408174321
Jordan,2019,0.79,13.070725166293718
Jordan,2020,0.8,13.193763685791424
Jordan,2021,0.81,13.397630484440453
Jordan,2022,0.82,13.115030987470771
Jordan,2023,0.83,13.282141893376098
Jordan,2024,0.84,13.449252799281428
Japan,2005,3.13091993331909,79.6838766755218
Japan,2006,3.2276599407196,80.19343542321317
Japan,2007,3.29257011413574,76.43358564261209
Japan,2008,3.29223990440369,77.30400302315329
Japan,2009,3.19589996337891,78.94901489974092
Japan,2010,3.10494995117188,80.18162772279906
Japan,2011,3.20536994934082,81.39425690295653
Japan,2012,3.17371010780334,77.5905398282977
Japan,2013,3.27895998954773,79.45321401806112
Japan,2014,3.36788010597229,80.0236209014215
Japan,2015,3.24071002006531,75.30723124797625
Japan,2016,3.10665988922119,67.62027564433457
Japan,2017,3.16635990142822,66.66814282445962
Japan,2018,3.21919989585876,65.43231363947946
Japan,2019,3.2182400226593,54.636583276311434
Japan,2020,3.2645800113678,56.00926166419601
Japan,2021,3.27677011489868,56.357300938098355
Japan,2022,3.40536999702454,56.31938321779336
Japan,2023,3.42,56.56386652285603
Japan,2024,3.45,57.06519924057203
South Korea,2005,2.52290010452271,64.08518572707126
South Korea,2006,2.71934008598328,67.48636017240808
South Korea,2007,2.87258005142212,66.60872847604783
South Korea,2008,2.9888699054718,70.1532829737943
South Korea,2009,3.14668989181519,77.72922277231565
South Korea,2010,3.3157799243927,85.69143365887943
South Korea,2011,3.59198999404907,91.25032512575484
South Korea,2012,3.8503999710083,94.31317608232615
South Korea,2013,3.95124006271362,95.94028503404618
South Korea,2014,4.07785987854004,96.95975779866312
South Korea,2015,3.97819995880127,92.52446667683519
South Korea,2016,3.9870400428772,86.86111791415647
South Korea,2017,4.29205989837646,90.46573685610477
South Korea,2018,4.51632976531982,91.88103495836609
South Korea,2019,4.62702989578247,78.75181053005628
South Korea,2020,4.79571008682251,82.60855904871185
South Korea,2021,4.9098801612854,84.79848764763214
South Korea,2022,5.21081018447876,86.49025774612934
South Korea,2023,5.3,87.9807168330577
South Korea,2024,5.45,90.48738042163762
Malaysia,2005,0.65,16.036111463155763
Malaysia,2006,0.6110600233078,14.783178983299994
Malaysia,2007,0.67,15.08361794527354
Malaysia,2008,0.788469970226288,18.28775906250989
Malaysia,2009,1.01001000404358,24.76637953489215
Malaysia,2010,1.03608000278473,26.114021734619243
Malaysia,2011,1.03341996669769,26.02494147703165
Malaysia,2012,1.09268999099731,26.163520830493482
Malaysia,2013,1.15,27.242363304354132
Malaysia,2014,1.2627500295639,29.807019614867148
Malaysia,2015,1.27945005893707,29.52020051801633
Malaysia,2016,1.41516995429993,30.652505637642857
Malaysia,2017,1.35,28.269816745815007
Malaysia,2018,1.04025995731354,21.003319625858428
Malaysia,2019,1.2,20.088977755032296
Malaysia,2020,0.950550019741058,15.80916835358092
Malaysia,2021,1.05,17.577315022779114
Malaysia,2022,1.1,17.794136352819955
Malaysia,2023,1.15,18.62969088234659
Malaysia,2024,1.2,19.465245411873234
Poland,2005,0.562780022621155,13.798491229031665
Poland,2006,0.55102002620697,13.282287853217891
Poland,2007,0.561930000782013,12.555528829433129
Poland,2008,0.599439978599548,13.832141975076794
Poland,2009,0.661059975624084,16.11679858519225
Poland,2010,0.726189970970154,18.015391778262213
Poland,2011,0.752210021018982,18.856082936263896
Poland,2012,0.889970004558563,21.153821736464113
Poland,2013,0.884829998016357,20.73930478973052
Poland,2014,0.950760006904602,22.364686835129856
Poland,2015,1.00423002243042,23.09498992952224
Poland,2016,0.968209981918335,20.88412740489313
Poland,2017,1.03785002231598,21.67088411185413
Poland,2018,1.20609998703003,24.384828935569836
Poland,2019,1.32334995269775,22.200443913182948
Poland,2020,1.38608002662659,23.375339483481884
Poland,2021,1.4318300485611,24.227019815462157
Poland,2022,1.4538300037384,23.707021598940912
Poland,2023,1.48,24.144350777222414
Poland,2024,1.5,24.47857258903307
Sweden,2005,3.35958003997803,85.55012999011072
Sweden,2006,3.47499990463257,86.3764863205736
Sweden,2007,3.23382997512817,75.0594734268023
Sweden,2008,3.46999001502991,81.49374256333783
Sweden,2009,3.39527988433838,83.89113447455436
Sweden,2010,3.1678900718689,81.82649749788952
Sweden,2011,3.18702006340027,80.92646499670111
Sweden,2012,3.23024988174438,78.98777381230173
Sweden,2013,3.26042008399963,78.99853931981855
Sweden,2014,3.10184001922607,73.6773959758965
Sweden,2015,3.21902990341187,74.80109326162328
Sweden,2016,3.24735999107361,70.69529778772112
Sweden,2017,3.36279010772705,70.82072905322799
Sweden,2018,3.32105994224548,67.50925908946017
Sweden,2019,3.38757991790771,57.53529097924771
Sweden,2020,3.48959994316101,59.918382240665345
Sweden,2021,3.40215992927551,58.54100872316499
Sweden,2022,3.40822005271912,56.36701075669356
Sweden,2023,3.42,56.56386652285603
Sweden,2024,3.43,56.73097742876136
Turkey,2005,0.563809990882874,13.824914966943421
Turkey,2006,0.552919983863831,13.329783351759062
Turkey,2007,0.686160027980804,15.461650619887896
Turkey,2008,0.687409996986389,15.905679162129
Turkey,2009,0.803619980812073,19.650497409199154
Turkey,2010,0.793690025806427,19.77943034043151
Turkey,2011,0.793929994106293,19.91964626317867
Turkey,2012,0.825950026512146,19.571733893754914
Turkey,2013,0.812059998512268,18.95468525756559
Turkey,2014,0.856400012969971,20.11378640578375
Turkey,2015,0.967320024967194,22.23329937264202
Turkey,2016,1.11978995800018,24.19693085570073
Turkey,2017,1.17631995677948,24.598174948563976
Turkey,2018,1.27093005180359,25.70672611537472
Turkey,2019,1.31959998607635,22.13625314989435
Turkey,2020,1.36748003959656,23.052214365445796
Turkey,2021,1.40208995342255,23.709085582881663
Turkey,2022,1.32342994213104,21.527894356409263
Turkey,2023,1.35,21.971909000453156
Turkey,2024,1.38,22.473241718169135
